author,content
ladygaga,Incredible new Tribe record. Love them so much. ❤️❤️https://t.co/RKCKJANZC1❤️❤️Q -Tip is my brother too.✌🏿️✌🏽️✌🏾️✌🏻️✌🏻️ #VeteransDay
ladygaga,@realdadinstands @Reimari3Mari @RudyHavenstein this was an exhibit by art students. We don't believe in the devil. We believe in kindness✌️️
ladygaga,Stop throwin' stones at your sisters and your brothers. I🙏 for 🇺🇸to heal the wounds that are hurting w/ no violence… https://t.co/Yy8UD6E9HW
ladygaga,"@AngieTVtvShow @periscopeco we're watching u , Dope watching u dance to #JOANNE"
ladygaga,@Reimari3Mari @RudyHavenstein I'm a Christian and I have been this whole time. We're a lot more alike than you may think my friend. ✌️️
ladygaga,I 🙏 @realDonaldTrump @POTUS will put words of kindness out into the country. Tell the US u won't tolerate this. Stu… https://t.co/abotJRc9Ce
ladygaga,"@holyh00ker all I can do today is think of every single one of you, u are not alone"
ladygaga,"@Monster4Gaga24 no fighting people, it's not what we stand for. We stand for love, equality and respecting each other no matter what ✌🏾️✌🏼️"
ladygaga,@Monster4Gaga24 U are absolutely right. But there's hateful extreme groups that he empowered that I fear will grow now that he won.
ladygaga,@Monster4Gaga24 @MarisolMonster The point is his language and approach to winning was divisive and we're witnessing it's violence now.
ladygaga,He empowered racist intolerant Americans to win.  Name-Calling and harassing is a form of celebration for Trump sup… https://t.co/j5wtWBTzcs
ladygaga,"Dear @cnn please stop normalizing something that isn't normal to us

⚡️ “Day 1 In Trump's America” by @Incilin

https://t.co/tBScHePiPU"
ladygaga,Every parent should do this today. https://t.co/agBCNxC03s
ladygaga,And I take that same vow. https://t.co/u8CTN5giLk
ladygaga,If you feel scared about the current state of American politics and Whitehouse sign this petition: https://t.co/2K88hLD8hn
ladygaga,"American Press, don't ignore the voices of half of USA who are in fear of their liberties and safety because of his divisive campaigning."
ladygaga,I wish @cnn and other news outlets would discuss the real issue we have in this country. Half of the population is in a state of fear.
ladygaga,https://t.co/uDq62GRRTG
ladygaga,"When has the President Elect ever done damage to the country BEFORE serving. #SignThisPetition
https://t.co/VomIN2HlZr"
ladygaga,For anyone who needs this info or knows someone who does. Here are some hot-lines you can call if you're feeling pa… https://t.co/yMxTYdweIH
ladygaga,"The chaos in USA is the result of Trump's irresponsible campaigning. He is not a role model, look at this mess he created. #LoveTrumpsHate"
ladygaga,I hope any scared people today remember that the social change you achieved these past 8 years is still in tact and… https://t.co/MZmQUpDOzz
ladygaga,❤️🇺🇸I want to live in a #CountryOfKindness where #LoveTrumpsHate https://t.co/Eni145YgW1
ladygaga,"In a room full of hope, we will be heard. @deray #blacklivesmatter Stand up for kindness, equality, and love. ❤️🇺🇸… https://t.co/IkdvAleK0M"
ladygaga,"In a room full of hope, we will be heard. Nothing can stop us. With @deray #blacklivesmatter Stand up for kindness, equality, and love.❤️🇺🇸"
ladygaga,"In a room full of hope, we will be heard.  Nothing can stop us. @iamderay #blacklivesmatter Stand up for kindness,… https://t.co/yiQkMc2OXH"
ladygaga,🙏say a prayer America
ladygaga,"WE ❤️u HILLARY!! live, from the Javet's Center! #Vote https://t.co/QXJnU7cDsv"
ladygaga,Lovin it up with the ladies.!!! GO HILLARY #vote if your polls are still open. @lenadunham https://t.co/ZMUKQZHXla
ladygaga,DON'T STAY HOME. Go out and vote polls are still open in some states! #ElectionNight #ElectionDay #election2016 https://t.co/s5qsPqSlPM
ladygaga,Call your friends and tell them to #Vote! There's still time. It's up to YOU! #Election2016 #ElectionDay https://t.co/hv84P1jHx0
