author,content
taylorswift13,"About to play the last show of the US 1989 Tour.
Feelings EVERYWHERE.
#1989TourTampa"
taylorswift13,"With every passing day, Olivia looks less like a cat and more like a melting snowman.

Happy #NationalCatDay 🐱⛄️ https://t.co/5iHXCBuZo7"
taylorswift13,"This is one of my favorite covers I've heard of Out of the Woods-- amazing job @4kingandcountry 👑✨🎤

https://t.co/z8GySLXGCu"
taylorswift13,"Miami!!! What a night! Thank you to our surprise guests @DwyaneWade, @pitbull &amp; @ricky_martin 🎉
#HappyBirthday1989 https://t.co/3BlvILVckW"
taylorswift13,"To celebrate #HappyBirthday1989, here's something from me.
Out of the Woods (solo acoustic piano performance)
🎹🌲🌲🌲🌲
https://t.co/C6dUjyYgw3"
taylorswift13,"1989 came out 1 year ago today. It's been the best year of my life.
I love you guys.
#HappyBirthday1989 https://t.co/J1Xx2NKIkE"
taylorswift13,"Wildest Dreams just hit number one on Top 40 radio! Thank you so much for everything, guys. 🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾
@RepublicRecords @charliewalk"
taylorswift13,"""Now if we're talkin body...""
@ToveLo
#1989touratlanta https://t.co/AKmwgi7dlz"
taylorswift13,Tonight was magical. @ToveLo was incredible. I ❤️ you Atlanta. https://t.co/pu4h7EPHmK
taylorswift13,"Ooooooh
Ahhhhhhh

@mirandalambert
#1989TourGreensboro https://t.co/KVyAvsj2uW"
taylorswift13,This is a video of @mirandalambert sitting on a throne of men at #1989TourGreensboro 🔥🔥🔥 https://t.co/unV6FvYD7q
taylorswift13,"✨Thanks Lexington, KY!✨
#1989TourLexington https://t.co/geG2coWTiF"
taylorswift13,"One of my favorite people to ever have been interviewed by: @TheRyanAdams

https://t.co/vV4TZFYl7X"
taylorswift13,"60,000 people at  #1989TourArlington tonight. What a night ✨ http://t.co/iz06o6ZvyO"
taylorswift13,"What are you waiting for?
@elliegoulding http://t.co/Tn2Q2IjiJ4"
taylorswift13,Band aids don't fix kitchen knife related injuries. http://t.co/Z7VvyNNznN
taylorswift13,"Thanks for the beach day, @GQMagazine ☀️ http://t.co/o91BaiRQYp"
taylorswift13,"So stoked about @R3HAB's remix of Wildest Dreams!

http://t.co/tAuhNZHzc9"
taylorswift13,"Tackling my former fear of horns, writing with magical @imogenheap, creating 'Shake it Off' &amp; 'Clean':

http://t.co/4n7MONyd8b

@GRAMMYPro"
taylorswift13,"The making of 'Out of the Woods' and 'I Know Places'.

http://t.co/8hBc1Npytb"
taylorswift13,"Brb I'll just be listening to 'Hands To Myself' all day and then forever.

Love you so much @selenagomez
#Revival is OUT NOW!!!"
taylorswift13,"Behind the scenes of the 1989 World Tour
@beck and @st_vincent in LA at sound check
One of my favorite memories. http://t.co/YFJOyMl9QZ"
taylorswift13,"I haven't opened up about making 1989 like this before.
Thanks @GRAMMYPro for the opportunity.
http://t.co/vg5PNA6nJ6"
taylorswift13,"My Instagram just hit 50 million, thanks so much guys. Though I'm pretty sure it's just because I have cute cats. 😸 http://t.co/e2ZacE66JK"
taylorswift13,Thanks @GQMagazine for my first cover :) http://t.co/lzCz5MbMHT
taylorswift13,http://t.co/Zw9MvA8dGE
taylorswift13,Meredith is allergic to joy. http://t.co/FIaVmUVCid
taylorswift13,"Looking good, Toronto.
All 50,000 of you. http://t.co/e8WcxcaJlk"
taylorswift13,"I LOVE YOU @charli_xcx !!!
#boomclap
#1989TourToronto http://t.co/25BVGixSTf"
taylorswift13,"Tonight @KeithUrban played ""John Cougar, John Deere, John 3:16"" in Toronto with us!! Here's a pic from sound check: http://t.co/GLgxJlep1E"
taylorswift13,"Getting pirate ship/sword fight movie scene vibes from this orchestral version of Bad Blood and I'm happy about it.
https://t.co/sHId54rpn5"
taylorswift13,"Live your dreams.

@HAIMtheband @Nelly_Mo http://t.co/OLkgU6LosH"
taylorswift13,I LOVED getting to sing The Fix &amp; Hot in Herre with @Nelly_Mo! What a way to end @HAIMtheband's run on the 1989 Tour🔥 http://t.co/xtvGrbVPeU
taylorswift13,"""WHAT?!""

@Nelly_Mo @HAIMtheband
#1989TourStLouis http://t.co/lZYDlJNmsS"
taylorswift13,"The highlight of our friendship thus far @HAIMtheband

PS WE LOVE YOU @Nelly_Mo
#1989TourStLouis http://t.co/3USBBookRg"
taylorswift13,"What the press says I'm doing:
Buying a Bev Hills mansion, getting married in an English castle

What I'm doing: Playing a show in St. Louis"
taylorswift13,"Why I like bringing out surprise special guests on tour:
http://t.co/jSZNIJstRP"
taylorswift13,"I
Can't
Get
No
Satisfaction

@MickJagger
#1989TourNashville http://t.co/Ow1sCZkZdZ"
taylorswift13,"SING

@leonalewis
#1989TourNashville http://t.co/Xk9GQU6Zse"
taylorswift13,"Oh my God @leonalewis sang 'Bleeding Love' tonight in Nashville and I may never recover.
#1989TourNashville http://t.co/qtCHxVm1El"
taylorswift13,"*drops mic*
🎤
@MickJagger
#1989TourNashville http://t.co/WCRGPnZ5SF"
taylorswift13,Breathtaking. Regal. Elegant. @AlisonKrauss singing 'When You Say Nothing At All'. So blown away by her grace. http://t.co/oiJoxxCWDD
taylorswift13,Singing 'I Don't Want to Miss a Thing' with @IamStevenT was an honor. So inspired by how sweet he was to all of us. http://t.co/D6YOv1yYXe
taylorswift13,"Got to sing with my little sis  @KelseaBallerini, tonight and she was charming and fantastic!!💗
#1989TourNashville http://t.co/ifAxwByF7n"
taylorswift13,"Tonight is the premiere of @EmpireFOX so make sure to watch @SerayahLove @TherealTaraji &amp; the rest of the amazing cast!🎶📺🌟
#EmpireSeason2"
taylorswift13,"I've always wanted to share a stage with @DierksBentley and last night in KC, I got to! What a great guy. http://t.co/IWi1OYREWk"
taylorswift13,"I honestly can't believe what I just saw. This amount of talent in one person has me speechless.
I ❤️ @toddyrockstar

http://t.co/LlKUl7fmgA"
taylorswift13,"Finally got to meet Dylan, the 7-yr-old who passionately danced to Shake it Off on @TheEllenShow-- and this happened. http://t.co/hq9OaewA2G"
taylorswift13,"UZO!!!!!!!!!!!!!
🏆🎉🎉🎉🎉🎉🎉💕💕💕💕💕💕💕💕💕💕💕💕💕"
taylorswift13,3 hours 38 minutes. http://t.co/JEh1rriSVU
taylorswift13,Dog struggles. http://t.co/QCuddi1ysp
taylorswift13,"Soooooon...

#ryanadams1989 http://t.co/6p0cWe6qUV"
taylorswift13,"My buddy @sydneysierota was as magical and fantastic as always tonight in Columbus! Love her so much 💕💕💕
@echosmith http://t.co/g9WcWbCt87"
taylorswift13,"#ryanadams1989 is up for pre-order on iTunes, so let's act accordingly. 🎧 http://t.co/JHfYuJQn99"
taylorswift13,WOAH just took a shower in my full show make up and then looked in the mirror and this girl made a reappearance. http://t.co/oOv8PpBJFZ
taylorswift13,"Ryan's music helped shape my songwriting. This is surreal and dreamlike.

Countdown to #RyanAdams1989
@TheRyanAdams http://t.co/pGZB0uUqiB"
taylorswift13,"I. Love. This.
I. Love. @HeyViolet
🔥🔥🔥🔥🔥🔥🔥
http://t.co/q1ooucz3Z9"
taylorswift13,"Amazing video, @ColumbusZoo and SERIOUSLY WHAT IS IT LIKE PETTING A BABY CHEETAH I REALLY NEED TO KNOW
http://t.co/AG0GXBkLNt"
taylorswift13,@robtswthrayguns I want that VERY VERY BADLY. Listening to Sugarbaby right now in honor of this generous offer &amp;dreaming about my new shirt.
taylorswift13,"""So put on your best, boys.
And I'll wear my pearls...""
@thebandperry
#1989tourindy http://t.co/YxkHxWg6VK"
taylorswift13,"THIS IS SO NICE!!!!!! Smiling so big after watching this video:

http://t.co/SS43iDGsGd"
taylorswift13,"Thank you so much @thebandperry for surprising the Indy crowd with ""If I Die Young""! Love you guys!! http://t.co/zo4l4e7D9e"
taylorswift13,"I've got 'Stand By You' by @RachelPlatten on repeat today. I highly recommend it.
🌟🌟🌟🌟🌟
https://t.co/PWkuJZmJhf"
taylorswift13,Same. http://t.co/2F0dCQsfAV
taylorswift13,"Finally saw Love and Mercy! Such an incredible story and moving performances by @ElizabethBanks, @johncusack, Paul Dano, and Paul Giamatti.👏"
taylorswift13,What an unbelievable crowd tonight in St. Paul!! And it was so cool playing 'Love Story' on its 7th anniversary. 💗 http://t.co/y1qztVeR3Q
taylorswift13,"WHEN THEY OVERNIGHT YOU AN EMMY

I DID NOT KNOW THIS WAS A THING http://t.co/FoK59tMhLl"
taylorswift13,"St. Paul, Minnesota all lit up and magical. Night 1 of 3.
#1989TourStPaul http://t.co/U7FfvMbsHU"
taylorswift13,"I remember being in 5th grade,wondering why all of my teachers were crying. Sending love to anyone who lost someone on Sept 11.
#NeverForget"
taylorswift13,"@THR
1. Wakes up
2. Reads this
3. Thinks it's a prank
4. Calls everyone to check
5. It's real
6. 🎉🎉🎉🎉🎉🎉
🎉🎉🎉🎉🎉🎉🎉"
taylorswift13,"Soundcheck🎤
#1989TourHouston
#WizKhalifa http://t.co/JJ7grU1sY5"
taylorswift13,Sparks flying during #SeeYouAgain: http://t.co/C9bvbWwKrW
taylorswift13,"""That bond will never be broken and the love will never get lost.""

#1989TourHouston
#SeeYouAgain
#WizKhalifa http://t.co/1FPqwLoU56"
taylorswift13,"Update: No fire. Still in my robe.

#1989TourHouston"
taylorswift13,A fire alarm is going off in the stadium and we don't know what to do. http://t.co/WxDPtj2dwt
taylorswift13,@troyesivan Look at us sitting next to each other like that 💗💗💗💗 http://t.co/IIUC2Qhq1y
taylorswift13,"GO @troyesivan WILD IS STUNNING AND AWESOME.

(YES CAPS LOCK IS NECESSARY HERE.)

#EPgoals"
taylorswift13,"Someone knitted this sweater of a Polaroid of me and gave it to my mom at the show.
Thank you, mysterious knitter. http://t.co/firiax6SzS"
taylorswift13,"Had the best time in Salt Lake City last night and Denver tonight. See you tomorrow for night 2, Denver! http://t.co/DH8AssQOGK"
taylorswift13,Awww Kanye sent me the coolest flowers!! #KanTay2020 #BFFs http://t.co/CGOQm3jWCT
