author,content
justinbieber,#PurposeCopenhagenPopup https://t.co/meONhcgrVm
justinbieber,#PurposeTourChildren Europe. Let me see what u got https://t.co/VL2RlXVPMA
justinbieber,PARIS https://t.co/XZ45gSiLEy
justinbieber,#PurposeParisPopup https://t.co/65lA3wtChm
justinbieber,Congrats to the team https://t.co/tIyzcugFAY
justinbieber,Germany shows have been incredible. Thank you. #PurposeTour
justinbieber,@thatrygood @Usher 😂😂😂
justinbieber,. @thatrygood is all about a little usher on Friday nights. Watching https://t.co/P6YeHVs7x1
justinbieber,Get big bro @usher's album. Tell me is 🔥🔥🔥 https://t.co/pKH83naVxc
justinbieber,"Been waiting for this one. Congrats on #HardIILove @Usher!
iTunes: https://t.co/yCQLvqnG2M
Spotify: https://t.co/HVqgjvNBxk"
justinbieber,"Go out and get @Usher's #HardIILove album. Out now!  https://t.co/1TmL0ijULS
iTunes: https://t.co/yCQLvqnG2M"
justinbieber,Thank you Germany https://t.co/5pVsOpE0VI
justinbieber,Thank you Germany. Amazing show. What will use our voices for when the time comes? Proud of tonight. Amazing. #PurposeTour
justinbieber,Posty  https://t.co/Cz3XusbUT5
justinbieber,"This guy has always been there for me in my hard times. Help me support him and get this album! https://t.co/1TmL0ijULS
@Usher we got you"
justinbieber,@Usher got you bro
justinbieber,#PurposeTour in Europe is real. Thank you
justinbieber,"#ColdWater dance video
@MAJORLAZER @MOMOMOYOUTH
https://t.co/JhRFCQ7nST"
justinbieber,#Justmoji is available on the @AppStore for iMessage #iMessageApps https://t.co/iM63PrCy7L
justinbieber,"Miami. New Years Eve 2017
https://t.co/J1li1LyNlt https://t.co/g6BeOQZcTx"
justinbieber,https://t.co/rth54lcP4N
justinbieber,This kid  https://t.co/9Fnc089Rq5
justinbieber,Iceland I love you. Thank you
justinbieber,Me and @postmalone. Deja Vu https://t.co/hFI8Ti1IGO https://t.co/6lbtcqfD0x
justinbieber,Wish I could've been there @majorlazer https://t.co/vUrl7qTtWq
justinbieber,"#coldwater remixes
https://t.co/oHOKUbyt8a https://t.co/8d9QReHZNC"
justinbieber,#coldwater on sale this week only https://t.co/MGd44V9M2z
justinbieber,"#Justmojis brought to life
https://t.co/WkK8rxl5ts https://t.co/AR0Tbrngay"
justinbieber,6 days until #PurposeTour is back. First stop Iceland
justinbieber,Big brother life
justinbieber,Damn big bro @Usher killin it on @BBCR1 right now. #livelounge . Always support eachother :)
justinbieber,Just want to make people smile. And teach them the perfect squat
justinbieber,Lol https://t.co/yUb3mzwj2v
justinbieber,Thanks :)  https://t.co/VGNvBmTukS
justinbieber,I don't usually get nervous but tonight I was thrown off and I was. Sorry about that. Really wanted to be my best. Hope u all had fun
justinbieber,Still no Instagram it was an accident
justinbieber,Big bro got a film this Friday. Congrats @Usher . #HandsOfStone https://t.co/GExObBhT2a
justinbieber,Should I or shouldn't I?
justinbieber,Loving london
justinbieber,@vfestival night 2
justinbieber,Hitting that London spot but need that Japan https://t.co/uWg9HwW3Do
justinbieber,Like I said. Love wins
justinbieber,Thank you v fest. Night one was real. https://t.co/DwhbWWqBC7
justinbieber,Sick!!!! Big bro for the win https://t.co/AqfgymmMeD
justinbieber,See you this weekend @vfestival
justinbieber,Thank you  https://t.co/Qr15BId43b
justinbieber,I love Tokyo
justinbieber,. @pattiemallette listen to my mom. I only have Twitter Facebook and Instagram right now. If I reopen my snapchat I will tell u.
justinbieber,https://t.co/B6g4eFTpRH
justinbieber,"#LetMeLoveYou @djsnake
https://t.co/aeiYZViAza https://t.co/Inac04la9f"
justinbieber,Check out this cover of #LetMeLoveYou by my friend @MaiaMitchell https://t.co/ZQFKOMfSlK
justinbieber,Get #ColdWater and #LetMeLoveYou now
justinbieber,@BigTop40 #1 and #2. Thanks
justinbieber,Dope. Big bro @Usher #NoLimit https://t.co/2N8fExWhTQ #newvideo
justinbieber,#PurposeTokyoPopup https://t.co/oaYYd5JDLu
justinbieber,@elvisduran happy bday
justinbieber,#coldwater now #LetMeLoveYou ... You're welcome
justinbieber,#TeenChoice thank you. Thanks to everyone involved. Beliebers I love you.
justinbieber,Thanks to everyone who supported me at #TeenChoice tonight. Love to everyone involved
justinbieber,#PurposeTourMerch @UrbanOutfitters now https://t.co/OdMeYF6Jhl
justinbieber,#ColdWater https://t.co/poT186yzoD
justinbieber,#ColdWater https://t.co/PtxfftkH5A https://t.co/vD0feGcQhO
justinbieber,#StreamColdWater on @Spotify to unlock a video https://t.co/OGOAyWNOKI
justinbieber,#ColdWater #1 on @Spotify. Thank you https://t.co/w7KK3JDr2g https://t.co/4EPT28g6MX
justinbieber,#ColdWater #ColdWater #ColdWater #ColdWater #ColdWater #ColdWater https://t.co/QjkQzuGPpQ
justinbieber,Thank you. #ColdWater  https://t.co/2JUbgCG0no
justinbieber,#COLDWATER https://t.co/7GqyTYmCjn.
justinbieber,#ColdWater https://t.co/5Y4XQy7qO1
justinbieber,Thanks for making #ColdWater #1 in the world. Let's keep it there :) @MAJORLAZER @MOMOMOYOUTH @ItsBennyBlanco @scooterbraun @edsheeran
justinbieber,Gucci! #ColdWater https://t.co/9INWhGKcRW
justinbieber,Dope fan art. #ColdWater https://t.co/TYMgvltRlf
justinbieber,"#ColdWater on @Spotify
https://t.co/w7KK3JV2qQ"
justinbieber,"Get #ColdWater on @AppleMusic
https://t.co/MGd44V9M2z"
justinbieber,#ColdWater1HOUR https://t.co/XPkKWJ1iSr
justinbieber,#ColdWater2HOURS https://t.co/1k4sdp1qpp
justinbieber,#ColdWater3HOURS https://t.co/GT5a1ZEIT0
justinbieber,#ColdWater4HOURS https://t.co/gWoaCPsBPY
justinbieber,Almost time #ColdWater https://t.co/DNrmxUbE51
justinbieber,New single tonight. #coldwater https://t.co/ElHFNO0Vw1
justinbieber,#ColdWater2Days
justinbieber,"If you feel you're sinking, I will jump right over, into cold, cold water for you https://t.co/q0LIdDX34S"
justinbieber,#ColdWater2Days https://t.co/8m1bIqldSZ
justinbieber,Last show of the first leg of #PurposeTour tonight. 48 hrs left to get the stage collection https://t.co/y8sxm6vyJa https://t.co/XeukBZZQya
justinbieber,#ColdWater3Days https://t.co/FgI0tpJ3gs
justinbieber,7 years later and ready again. Thank you https://t.co/dSF2pOTozm
justinbieber,#ColdWater4Days https://t.co/6SEM8jtFB4
justinbieber,Msg tomorrow
justinbieber,#ColdWater5Days https://t.co/6fIr6begSe
justinbieber,#ColdWater6Days https://t.co/zECm2xcmQH
justinbieber,#ColdWater7Days @MAJORLAZER https://t.co/sYMjoCQ8vl
justinbieber,These are the moments I live for!!! https://t.co/vXxXArdv78
justinbieber,https://t.co/ZWMJvhasht
justinbieber,Nyc https://t.co/QgnO1CJfGl
justinbieber,#PurposeMerch coming to @barneysny soon https://t.co/uPHHmwV20d
justinbieber,#coldwater new single with @MAJORLAZER next Friday https://t.co/zcSowOsqGf
justinbieber,I love this #PurposeTour . Thanks to everyone who has been a part of it so far
justinbieber,??? https://t.co/ZWMJvhasht
justinbieber,Great show. Thank you
justinbieber,The championship :) https://t.co/9IQ78JaBZy
justinbieber,@neymarjr where u at?? Lol
justinbieber,Getting in the championship before the championship ⚽️
justinbieber,@ToriKelly you have a special gift. God bless
justinbieber,Praying for everyone today. #love
justinbieber,#countdown #coldwater #2weeks  @MAJORLAZER and me
justinbieber,#coldwater 2 weeks. @MAJORLAZER @diplo let's go. And for those asking written with  @ItsBennyBlanco and @edsheeran. He ain't on it.
justinbieber,Last call #PurposeTour merch. 24 hrs left https://t.co/ZXLGuwusLr https://t.co/308PAK18vd
justinbieber,Great day
justinbieber,Miami #PurposeTour
justinbieber,Happy Canada Day! https://t.co/c57EHLLjad
justinbieber,"#coldwater coming this month. Me, @MAJORLAZER @ItsBennyBlanco @edsheeran 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥"
justinbieber,Tomorrow. Miami https://t.co/PYqqOtpqQw
justinbieber,Thank you for tonight. Don't ever be afraid to be yourself. #OrlandoStrong https://t.co/ezvQT2g4nk
justinbieber,@kanyewest congrats on adidas my guy
justinbieber,Team sexy  https://t.co/zYHfDSHJyS
justinbieber,My guy @HollyHamy  https://t.co/fCme3uC1Lc
justinbieber,We back. New #PurposeTour merch available now https://t.co/ZXLGuwusLr https://t.co/bjRq7YEgcE
justinbieber,Up next.... #OrlandoStrong #PurposeTour
justinbieber,Miami pop up store opens tomorrow. #PurposeTourMerch https://t.co/xgV1fFSArI
justinbieber,https://t.co/y8sxm6vyJa
justinbieber,Europe #mycalvins. @calvinklein is giving away #PurposeTour Berlin + London tix https://t.co/OhgcftOw1I https://t.co/psaLN4TTlF
justinbieber,Miami #PurposeTourAlchemist https://t.co/Jc2h6yY4iM
justinbieber,Nashville that was one of the best shows yet. #PurposeTour
justinbieber,New #Justmojis for the 4th even tho I'm Canadian lol 🇺🇸🇨🇦  https://t.co/d3N0mzAcWC https://t.co/YQPkJWrPsX
justinbieber,My bro @JBALVIN got a new album. Get that. Congrats my friend
justinbieber,Out here
justinbieber,I need to see #FindingDory
justinbieber,She made my wish https://t.co/DN23oHwTjs
justinbieber,I'm a cat. I got 9 lives. Lol https://t.co/9LMEl5eHGc
justinbieber,Happy birthday scoot. He is gettin old. @scooterbraun u are lucky u married a Canadian ;)
justinbieber,Happy #FindingDory day @TheEllenShow
justinbieber,If you don't have the #purpose album by now... What are you doing? https://t.co/ofl8ZuzdkH
justinbieber,Here is the video for @usher. Got u bro. https://t.co/2QBre6r0Ye #crash
justinbieber,@DJTayJames got a new tape. Get it.
justinbieber,New big bro. New @usher! #crash https://t.co/JEa6k2TBav
justinbieber,😂😂😂 @KevinHart4real @JKCorden https://t.co/kxo3M5SJkF
justinbieber,Great show tonight. #PurposeTour
justinbieber,Fashion week Italy https://t.co/ET23uriIZs
justinbieber,For all those asking no I won't cancel the Orlando show. I stand with Orlando in support. Love you Orlando! #OrlandoStrong
justinbieber,Glad to be back out here performing. #purposetour
justinbieber,Glad I met you https://t.co/k6jyMoAxUZ
justinbieber,Yes https://t.co/E4JsFJVM1a
justinbieber,#Justmoji on all android phones https://t.co/HMPzHpZwti https://t.co/7g0jmF3a0J
justinbieber,https://t.co/P2RDiS5bsD
justinbieber,#Justin4MMVA
justinbieber,"#PurposeTour back tomorrow in Winnipeg
https://t.co/f4sfIpODMN"
justinbieber,Hello https://t.co/wkNe8HcDrH
justinbieber,Congrats big bro. I see no limit too https://t.co/t3GSvVpFoi
justinbieber,@thatrygood let's go! #Justmoji
justinbieber,#CompanyMusicVideo  https://t.co/tqaw4skf1p https://t.co/ggq4FSeyRz
justinbieber,#CompanyMusicVideo https://t.co/tqaw4skf1p
justinbieber,https://t.co/mHG09wLvlQ. #CompanyMusicVideo
justinbieber,#CompanyMusicVideo today https://t.co/VSQTCW9Cx6
justinbieber,#company video tomorrow https://t.co/5TX3T4GZcu
justinbieber,Great day
justinbieber,Say happy birthday to my pops! @JeremyBieber happy birthday!
justinbieber,"Go get it. If you want to see the new hair. #Justmoji Justmoji by Kapps Media, LLC.
https://t.co/h7pxjRTO7K https://t.co/1KEYxRSwWj"
justinbieber,Tomorrow #OVOSoundRadio @Drake https://t.co/vlS4lRaL6c
justinbieber,@BigBoy @kanyewest new song is 🔥🔥 https://t.co/LUqHXTU4Wx
justinbieber,Love me some country. Congrats guys. @DanAndShay #OBSESSED  https://t.co/XKlJ9dF4Dx
justinbieber,#justmoji ----&gt; https://t.co/TFd93qlnqi
justinbieber,My #justmojis come out tomorrow @AppStore
justinbieber,https://t.co/BcZPnjFqx3
justinbieber,Happy birthday @JazmynBieber! Your big brother loves you. #HappyBirthdayJazmynBieber
justinbieber,Congrats to my brother @LewisHamilton on an amazing victory https://t.co/NT6uYbUxBZ
justinbieber,On an adventure
justinbieber,#wedontsteal @Skrillex @bloodpop #sorry :) https://t.co/57rNU274Up
justinbieber,PURPOSE https://t.co/ZWMJvhasht
justinbieber,Great times @MartinGarrix #realfriend
justinbieber,Of course. It's the wedding song. Nice job fellas https://t.co/CxiZ1n6G2r
justinbieber,Thanks @TeenChoiceFOX https://t.co/bXYG9MPKKo https://t.co/YfBqrKGFPk
justinbieber,Road trip with @MartinGarrix and @RoryKramer https://t.co/5APHd7gVvf
justinbieber,Happy. Just being honest
justinbieber,Thank you.
justinbieber,Showtime #BieberOnBBMAs
justinbieber,This video is funny @awkwardpuppets @lelepons https://t.co/Ank64HePz6
justinbieber,#Purpose 4x platinum in Canada. Thanks for the hard work team @umusic https://t.co/iJKeFf5YEH
justinbieber,1 day left to get ur #PurposeTour merch https://t.co/ZXLGuwusLr
justinbieber,Today. #PopUpStore #PurposeTourToronto https://t.co/vgP2Q8u4a5
justinbieber,Tomorrow. Toronto. https://t.co/zWubYHdiNH
justinbieber,@diplo @MAJORLAZER it's happening
justinbieber,Toronto exclusive Merch this week https://t.co/TtWflbfTe9
justinbieber,@diplo when are we bringing this new music?
justinbieber,Sorry Argentina . I love you https://t.co/FIDNJAx9HX
justinbieber,Argentinian beliebers I would like nothing more than to bring the #purposetour there but until the legal conditions change there I can't.
justinbieber,And tonight #PurposeTourMontreal
justinbieber,On to better news. Watch out for the #Spotify #company campaign and music video this week.
justinbieber,Argentina I do love you. It is in fact one of my favorite places to tour. I wish this was not the case. My lawyers say it is what it is.
justinbieber,If things were to change I would love to come but at this time I cannot. For everyone else in South America I look forward to seeing you
justinbieber,#ilovecanada
justinbieber,#PurposeTourOttawa killed it
justinbieber,https://t.co/7VyPN81nBF https://t.co/wft369eFV5
justinbieber,Good times at V Files. #PurposeTour merch up now https://t.co/ZXLGuwusLr https://t.co/Ti7z0PsEMh
justinbieber,"Juke Jam @chancetherapper
https://t.co/eH2w5wVZHJ https://t.co/LdoiQDadrX"
justinbieber,https://t.co/ZXLGuwusLr https://t.co/kuSfTBzmJG
justinbieber,Boston was one of the best shows yet tonight. #PurposeTourBoston
justinbieber,Tokyo. See u in August #PurposeTour https://t.co/0pfLvA5EPn https://t.co/jW9Q7r8ljK
justinbieber,Everyone loves #company 😂 https://t.co/Vxk321UdCR
justinbieber,Purpose album ---&gt;  https://t.co/ZWMJvhasht
